# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = model_cbf2159c6af071b2162bd957a23704a5_model
# start_datetime = 2026-04-09 15:13:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 5000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/zz/_tf8d1dj3m32gskckvrvzn240000gr/T/RtmpQ59ItL/standata-165d61562504.json
# init = 2 (Default)
# random
#   seed = 1907866917
# output
#   file = /var/folders/zz/_tf8d1dj3m32gskckvrvzn240000gr/T/RtmpQ59ItL/model_cbf2159c6af071b2162bd957a23704a5-202604091013-1-60c36c.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /var/folders/zz/_tf8d1dj3m32gskckvrvzn240000gr/T/RtmpQ59ItL/model_cbf2159c6af071b2162bd957a23704a5-profile-202604091013-1-0cbd15.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=model_cbf2159c6af071b2162bd957a23704a5_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Vc.1,Vc.2,Vc.3,Vc.4,Vc.5,Vc.6,Vc.7,Vc.8,l1_0,l2_0,l3_0,l4_0,l5_0,l6_0,l7_0,l8_0,l9_0,l10_0,l11_0,l12_0,l13_0,l14_0,l15_0,l1_11,l2_11,l3_11,l4_11,l5_12,l6_12,l7_12,l8_12,l9_12,l10_13,l11_13,l12_13,l13_13,l14_13,l15_13,log_Vc.1,log_Vc.2,log_Vc.3,log_Vc.4,log_Vc.5,log_Vc.6,log_Vc.7,log_Vc.8,pi.1.1,pi.2.1,pi.3.1,pi.4.1,pi.5.1,pi.6.1,pi.7.1,pi.8.1,pi.9.1,pi.10.1,pi.11.1,pi.12.1,pi.13.1,pi.14.1,pi.15.1,pi.1.2,pi.2.2,pi.3.2,pi.4.2,pi.5.2,pi.6.2,pi.7.2,pi.8.2,pi.9.2,pi.10.2,pi.11.2,pi.12.2,pi.13.2,pi.14.2,pi.15.2,pi.1.3,pi.2.3,pi.3.3,pi.4.3,pi.5.3,pi.6.3,pi.7.3,pi.8.3,pi.9.3,pi.10.3,pi.11.3,pi.12.3,pi.13.3,pi.14.3,pi.15.3,pi.1.4,pi.2.4,pi.3.4,pi.4.4,pi.5.4,pi.6.4,pi.7.4,pi.8.4,pi.9.4,pi.10.4,pi.11.4,pi.12.4,pi.13.4,pi.14.4,pi.15.4,pi.1.5,pi.2.5,pi.3.5,pi.4.5,pi.5.5,pi.6.5,pi.7.5,pi.8.5,pi.9.5,pi.10.5,pi.11.5,pi.12.5,pi.13.5,pi.14.5,pi.15.5,pi.1.6,pi.2.6,pi.3.6,pi.4.6,pi.5.6,pi.6.6,pi.7.6,pi.8.6,pi.9.6,pi.10.6,pi.11.6,pi.12.6,pi.13.6,pi.14.6,pi.15.6,pi.1.7,pi.2.7,pi.3.7,pi.4.7,pi.5.7,pi.6.7,pi.7.7,pi.8.7,pi.9.7,pi.10.7,pi.11.7,pi.12.7,pi.13.7,pi.14.7,pi.15.7,pi.1.8,pi.2.8,pi.3.8,pi.4.8,pi.5.8,pi.6.8,pi.7.8,pi.8.8,pi.9.8,pi.10.8,pi.11.8,pi.12.8,pi.13.8,pi.14.8,pi.15.8
# Adaptation terminated
# Step size = 0.0705776
# Diagonal elements of inverse mass matrix:
# 1.29723, 1.59629, 1.10574, 1.02817, 0.864498, 1.27678, 1.23234, 1.0102, 0.887625, 0.656884, 0.621106, 0.405619, 0.491958, 0.459364, 0.615305, 0.841191, 0.269243, 0.427175, 0.169476, 0.870678, 0.901051, 0.718373, 0.973991, 0.950924, 0.771161, 0.908257, 0.909733, 0.974609, 0.934817, 0.901187, 0.945674, 0.0387114, 0.0426026, 0.0610724, 0.136135, 0.390497, 0.28626
-441.00599,0.99988107,0.070577576,6,63,0,460.03205,0.10022487,0.039300707,0.072410569,0.043722779,0.49018365,0.14108539,0.016597477,0.096474553,2.0441348,1.1483618,0.56898416,1.7985082,2.6177394,2.6320126,2.7804007,1.4763244,3.234095,-2.4667053,-3.9417693,-1.4000065,-4.1791263,-2.8097272,-3.2416963,3.2002793,2.3578008,0.40292373,1.5816967,1.567594,1.3485231,2.2750689,2.7110718,0.55889724,3.5860584,5.951875,2.046487,13.549321,4.6447009,3.6104726,-2.3003389,-3.2365128,-2.625403,-3.1298861,-0.71297516,-1.95839,-4.0985046,-2.338476,0.88535363,0.75921157,0.63852874,0.85796724,0.93199457,0.93289365,0.94160748,0.81401677,0.96209736,0.078225474,0.019044115,0.19781509,0.015080961,0.056800794,0.037626417,0.99475079,0.97086261,0.72549962,0.96708013,0.93199457,0.93289365,0.94160748,0.81401677,0.96209736,0.078225474,0.019044115,0.19781509,0.015080961,0.056800794,0.037626417,0.88535363,0.75921157,0.63852874,0.85796724,0.98501096,0.98166675,0.993666,0.98504138,0.97796824,0.078225474,0.019044115,0.19781509,0.015080961,0.056800794,0.037626417,0.88535363,0.75921157,0.63852874,0.85796724,0.93199457,0.93289365,0.94160748,0.81401677,0.96209736,0.7538687,0.88185403,0.65621693,0.99991478,0.86235317,0.59116325,0.99475079,0.97086261,0.72549962,0.96708013,0.98501096,0.98166675,0.993666,0.98504138,0.97796824,0.078225474,0.019044115,0.19781509,0.015080961,0.056800794,0.037626417,0.99475079,0.97086261,0.72549962,0.96708013,0.93199457,0.93289365,0.94160748,0.81401677,0.96209736,0.7538687,0.88185403,0.65621693,0.99991478,0.86235317,0.59116325,0.88535363,0.75921157,0.63852874,0.85796724,0.98501096,0.98166675,0.993666,0.98504138,0.97796824,0.7538687,0.88185403,0.65621693,0.99991478,0.86235317,0.59116325,0.99475079,0.97086261,0.72549962,0.96708013,0.98501096,0.98166675,0.993666,0.98504138,0.97796824,0.7538687,0.88185403,0.65621693,0.99991478,0.86235317,0.59116325
-439.15366,0.99873199,0.070577576,5,31,0,452.65383,0.082909801,0.079952614,0.035947845,0.049599629,0.4694456,0.14610189,0.085561464,0.050481158,3.0559234,2.4698845,-0.5583696,1.658738,1.8340005,3.3169264,2.7015278,0.86601717,3.1393553,-2.0944266,-2.6707074,-1.3170278,-3.5490558,-3.9834319,-3.2744571,3.0532469,3.8340982,2.3018031,3.3156721,1.3257654,0.96286447,0.65047355,1.6120501,3.0981577,3.6999537,6.7130115,2.5485338,6.9408148,4.9329455,2.9126222,-2.490002,-2.5263211,-3.3256861,-3.0037719,-0.75620286,-1.923451,-2.4585203,-2.9861551,0.95503757,0.92200346,0.36392479,0.84006852,0.86223762,0.96500494,0.93711673,0.70391628,0.95848724,0.10963971,0.064724133,0.21131321,0.027948214,0.018281196,0.036457932,0.99778253,0.99817433,0.85112266,0.99313486,0.86223762,0.96500494,0.93711673,0.70391628,0.95848724,0.10963971,0.064724133,0.21131321,0.027948214,0.018281196,0.036457932,0.95503757,0.92200346,0.36392479,0.84006852,0.95929181,0.98634352,0.96617031,0.92258988,0.9980491,0.10963971,0.064724133,0.21131321,0.027948214,0.018281196,0.036457932,0.95503757,0.92200346,0.36392479,0.84006852,0.86223762,0.96500494,0.93711673,0.70391628,0.95848724,0.83278946,0.98274596,0.77408205,0.96744599,0.72101734,0.41051545,0.99778253,0.99817433,0.85112266,0.99313486,0.95929181,0.98634352,0.96617031,0.92258988,0.9980491,0.10963971,0.064724133,0.21131321,0.027948214,0.018281196,0.036457932,0.99778253,0.99817433,0.85112266,0.99313486,0.86223762,0.96500494,0.93711673,0.70391628,0.95848724,0.83278946,0.98274596,0.77408205,0.96744599,0.72101734,0.41051545,0.95503757,0.92200346,0.36392479,0.84006852,0.95929181,0.98634352,0.96617031,0.92258988,0.9980491,0.83278946,0.98274596,0.77408205,0.96744599,0.72101734,0.41051545,0.99778253,0.99817433,0.85112266,0.99313486,0.95929181,0.98634352,0.96617031,0.92258988,0.9980491,0.83278946,0.98274596,0.77408205,0.96744599,0.72101734,0.41051545
-437.60047,0.96915835,0.070577576,5,63,0,456.81301,0.081122194,0.049325409,0.090068033,0.033342248,0.41010537,0.10651148,0.068218778,0.16130649,2.44128,2.1184531,0.091422923,1.667883,2.4720603,0.47104355,2.6461027,0.1901182,2.6129208,-3.0901436,-3.2991892,-1.9241971,-3.6131022,-2.5662065,-3.5203604,6.7605657,1.2909559,0.99924198,2.5103054,0.84940123,5.6135759,1.1120177,4.355282,1.4055337,4.0106838,5.3119338,2.4832575,8.2479368,2.3579805,2.5417388,-2.5117987,-3.0093159,-2.40719,-3.40093,-0.89134116,-2.2395025,-2.6850354,-1.8244491,0.91992143,0.89268383,0.52283982,0.84129337,0.92215978,0.61563072,0.93377038,0.5473869,0.93168852,0.043515657,0.035599015,0.12739426,0.02625988,0.071345235,0.028738435,0.99989916,0.9679973,0.74850691,0.9849051,0.92215978,0.61563072,0.93377038,0.5473869,0.93168852,0.043515657,0.035599015,0.12739426,0.02625988,0.071345235,0.028738435,0.91992143,0.89268383,0.52283982,0.84129337,0.96515777,0.99772754,0.97720422,0.98949559,0.98233686,0.043515657,0.035599015,0.12739426,0.02625988,0.071345235,0.028738435,0.91992143,0.89268383,0.52283982,0.84129337,0.92215978,0.61563072,0.93377038,0.5473869,0.93168852,0.71515215,0.8821287,0.6362351,0.99038562,0.44813078,0.27316538,0.99989916,0.9679973,0.74850691,0.9849051,0.96515777,0.99772754,0.97720422,0.98949559,0.98233686,0.043515657,0.035599015,0.12739426,0.02625988,0.071345235,0.028738435,0.99989916,0.9679973,0.74850691,0.9849051,0.92215978,0.61563072,0.93377038,0.5473869,0.93168852,0.71515215,0.8821287,0.6362351,0.99038562,0.44813078,0.27316538,0.91992143,0.89268383,0.52283982,0.84129337,0.96515777,0.99772754,0.97720422,0.98949559,0.98233686,0.71515215,0.8821287,0.6362351,0.99038562,0.44813078,0.27316538,0.99989916,0.9679973,0.74850691,0.9849051,0.96515777,0.99772754,0.97720422,0.98949559,0.98233686,0.71515215,0.8821287,0.6362351,0.99038562,0.44813078,0.27316538
-435.41152,0.98294443,0.070577576,6,63,0,446.85196,0.094635013,0.063632254,0.13986973,0.024543777,0.28967985,0.06623945,0.049094478,0.27230546,2.5427153,1.6772655,-0.23168769,1.6081086,2.5785653,0.81526773,3.023009,-0.48638235,2.6475125,-2.7206085,-3.4398641,-1.8391944,-3.7230033,-2.6191056,-3.5856013,3.2102586,1.4511436,1.4401546,3.1663088,0.66807549,5.8091162,0.76714453,3.1911149,1.7974052,4.3266541,5.9189023,2.51644,7.0203947,3.318634,2.8653594,-2.3577278,-2.7546348,-1.9670438,-3.7072969,-1.2389789,-2.7144791,-3.0140087,-1.3008308,0.9270826,0.8425421,0.4423358,0.83314863,0.92946928,0.69323089,0.95360284,0.38074616,0.93385751,0.061768195,0.031072577,0.1371466,0.0235913,0.067918893,0.026972322,0.99683671,0.9580495,0.77002757,0.99162769,0.92946928,0.69323089,0.95360284,0.38074616,0.93385751,0.061768195,0.031072577,0.1371466,0.0235913,0.067918893,0.026972322,0.9270826,0.8425421,0.4423358,0.83314863,0.96255222,0.99867416,0.977907,0.93730532,0.98839811,0.061768195,0.031072577,0.1371466,0.0235913,0.067918893,0.026972322,0.9270826,0.8425421,0.4423358,0.83314863,0.92946928,0.69323089,0.95360284,0.38074616,0.93385751,0.83286166,0.9226592,0.66312368,0.96433921,0.66808321,0.32733972,0.99683671,0.9580495,0.77002757,0.99162769,0.96255222,0.99867416,0.977907,0.93730532,0.98839811,0.061768195,0.031072577,0.1371466,0.0235913,0.067918893,0.026972322,0.99683671,0.9580495,0.77002757,0.99162769,0.92946928,0.69323089,0.95360284,0.38074616,0.93385751,0.83286166,0.9226592,0.66312368,0.96433921,0.66808321,0.32733972,0.9270826,0.8425421,0.4423358,0.83314863,0.96255222,0.99867416,0.977907,0.93730532,0.98839811,0.83286166,0.9226592,0.66312368,0.96433921,0.66808321,0.32733972,0.99683671,0.9580495,0.77002757,0.99162769,0.96255222,0.99867416,0.977907,0.93730532,0.98839811,0.83286166,0.9226592,0.66312368,0.96433921,0.66808321,0.32733972
-441.3482,0.97238483,0.070577576,6,63,0,450.9457,0.08593698,0.12787569,0.17920078,0.025162345,0.31761675,0.062288447,0.057511146,0.14440787,3.5754491,1.6476619,-0.092915509,2.5384765,1.2293079,2.4261019,2.3118746,1.1268301,2.0137032,-1.8690809,-2.9083643,-1.5909213,-2.7556439,-2.9950036,-3.2266491,0.84081709,1.3643675,1.1592598,0.51189669,2.483858,1.2892725,2.2530249,0.5237837,2.3411789,3.2725553,4.3806673,2.2979252,21.88692,4.1758111,2.923066,-2.454141,-2.0566966,-1.7192485,-3.6824066,-1.1469098,-2.7759793,-2.8557765,-1.9351136,0.97275995,0.8385748,0.47678782,0.92679553,0.77369741,0.91879617,0.90985573,0.75525344,0.88222834,0.13364811,0.051741634,0.16925432,0.059768695,0.047652103,0.038175094,0.98806492,0.95311463,0.74390107,0.95479864,0.77369741,0.91879617,0.90985573,0.75525344,0.88222834,0.13364811,0.051741634,0.16925432,0.059768695,0.047652103,0.038175094,0.97275995,0.8385748,0.47678782,0.92679553,0.97618103,0.97623233,0.98969635,0.838974,0.98731892,0.13364811,0.051741634,0.16925432,0.059768695,0.047652103,0.038175094,0.97275995,0.8385748,0.47678782,0.92679553,0.77369741,0.91879617,0.90985573,0.75525344,0.88222834,0.80273464,0.81340718,0.6697388,1,0.76509295,0.42468179,0.98806492,0.95311463,0.74390107,0.95479864,0.97618103,0.97623233,0.98969635,0.838974,0.98731892,0.13364811,0.051741634,0.16925432,0.059768695,0.047652103,0.038175094,0.98806492,0.95311463,0.74390107,0.95479864,0.77369741,0.91879617,0.90985573,0.75525344,0.88222834,0.80273464,0.81340718,0.6697388,1,0.76509295,0.42468179,0.97275995,0.8385748,0.47678782,0.92679553,0.97618103,0.97623233,0.98969635,0.838974,0.98731892,0.80273464,0.81340718,0.6697388,1,0.76509295,0.42468179,0.98806492,0.95311463,0.74390107,0.95479864,0.97618103,0.97623233,0.98969635,0.838974,0.98731892,0.80273464,0.81340718,0.6697388,1,0.76509295,0.42468179
-440.23812,0.97770975,0.070577576,6,63,0,456.80384,0.023897947,0.1392181,0.24471533,0.045196751,0.22002782,0.19710923,0.10652341,0.023311417,2.7749746,1.9492182,-0.67385735,2.0389149,2.8300172,1.9831698,2.8157423,0.71933255,3.0120575,-2.5177791,-3.2581268,-1.482814,-4.9010586,-2.6297819,-3.8615989,6.6630943,2.7781647,3.5017358,5.3468199,0.46372178,4.1630947,0.35623071,3.1151506,0.79947466,4.2196403,4.8557974,2.4572588,7.6759576,3.0806671,3.0072024,-3.7339627,-1.9717135,-1.4076597,-3.0967301,-1.5140013,-1.6239972,-2.2393905,-3.758812,0.94130842,0.87536137,0.33763365,0.88482273,0.94427651,0.87901866,0.9435206,0.67246002,0.95311588,0.07462116,0.037035957,0.18500276,0.0073837787,0.067246131,0.020601012,0.99992037,0.99122803,0.94416386,0.99938035,0.94427651,0.87901866,0.9435206,0.67246002,0.95311588,0.07462116,0.037035957,0.18500276,0.0073837787,0.067246131,0.020601012,0.94130842,0.87536137,0.33763365,0.88482273,0.96421339,0.99786311,0.95976584,0.97884471,0.97836419,0.07462116,0.037035957,0.18500276,0.0073837787,0.067246131,0.020601012,0.94130842,0.87536137,0.33763365,0.88482273,0.94427651,0.87901866,0.9435206,0.67246002,0.95311588,0.84577766,0.83169256,0.72600456,0.94130425,0.61084968,0.29851141,0.99992037,0.99122803,0.94416386,0.99938035,0.96421339,0.99786311,0.95976584,0.97884471,0.97836419,0.07462116,0.037035957,0.18500276,0.0073837787,0.067246131,0.020601012,0.99992037,0.99122803,0.94416386,0.99938035,0.94427651,0.87901866,0.9435206,0.67246002,0.95311588,0.84577766,0.83169256,0.72600456,0.94130425,0.61084968,0.29851141,0.94130842,0.87536137,0.33763365,0.88482273,0.96421339,0.99786311,0.95976584,0.97884471,0.97836419,0.84577766,0.83169256,0.72600456,0.94130425,0.61084968,0.29851141,0.99992037,0.99122803,0.94416386,0.99938035,0.96421339,0.99786311,0.95976584,0.97884471,0.97836419,0.84577766,0.83169256,0.72600456,0.94130425,0.61084968,0.29851141
