# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = model_cbf2159c6af071b2162bd957a23704a5_model
# start_datetime = 2026-04-09 15:13:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 5000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/zz/_tf8d1dj3m32gskckvrvzn240000gr/T/RtmpQ59ItL/standata-165d61562504.json
# init = 2 (Default)
# random
#   seed = 1907866917
# output
#   file = /var/folders/zz/_tf8d1dj3m32gskckvrvzn240000gr/T/RtmpQ59ItL/model_cbf2159c6af071b2162bd957a23704a5-202604091013-2-60c36c.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /var/folders/zz/_tf8d1dj3m32gskckvrvzn240000gr/T/RtmpQ59ItL/model_cbf2159c6af071b2162bd957a23704a5-profile-202604091013-2-0cbd15.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=model_cbf2159c6af071b2162bd957a23704a5_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Vc.1,Vc.2,Vc.3,Vc.4,Vc.5,Vc.6,Vc.7,Vc.8,l1_0,l2_0,l3_0,l4_0,l5_0,l6_0,l7_0,l8_0,l9_0,l10_0,l11_0,l12_0,l13_0,l14_0,l15_0,l1_11,l2_11,l3_11,l4_11,l5_12,l6_12,l7_12,l8_12,l9_12,l10_13,l11_13,l12_13,l13_13,l14_13,l15_13,log_Vc.1,log_Vc.2,log_Vc.3,log_Vc.4,log_Vc.5,log_Vc.6,log_Vc.7,log_Vc.8,pi.1.1,pi.2.1,pi.3.1,pi.4.1,pi.5.1,pi.6.1,pi.7.1,pi.8.1,pi.9.1,pi.10.1,pi.11.1,pi.12.1,pi.13.1,pi.14.1,pi.15.1,pi.1.2,pi.2.2,pi.3.2,pi.4.2,pi.5.2,pi.6.2,pi.7.2,pi.8.2,pi.9.2,pi.10.2,pi.11.2,pi.12.2,pi.13.2,pi.14.2,pi.15.2,pi.1.3,pi.2.3,pi.3.3,pi.4.3,pi.5.3,pi.6.3,pi.7.3,pi.8.3,pi.9.3,pi.10.3,pi.11.3,pi.12.3,pi.13.3,pi.14.3,pi.15.3,pi.1.4,pi.2.4,pi.3.4,pi.4.4,pi.5.4,pi.6.4,pi.7.4,pi.8.4,pi.9.4,pi.10.4,pi.11.4,pi.12.4,pi.13.4,pi.14.4,pi.15.4,pi.1.5,pi.2.5,pi.3.5,pi.4.5,pi.5.5,pi.6.5,pi.7.5,pi.8.5,pi.9.5,pi.10.5,pi.11.5,pi.12.5,pi.13.5,pi.14.5,pi.15.5,pi.1.6,pi.2.6,pi.3.6,pi.4.6,pi.5.6,pi.6.6,pi.7.6,pi.8.6,pi.9.6,pi.10.6,pi.11.6,pi.12.6,pi.13.6,pi.14.6,pi.15.6,pi.1.7,pi.2.7,pi.3.7,pi.4.7,pi.5.7,pi.6.7,pi.7.7,pi.8.7,pi.9.7,pi.10.7,pi.11.7,pi.12.7,pi.13.7,pi.14.7,pi.15.7,pi.1.8,pi.2.8,pi.3.8,pi.4.8,pi.5.8,pi.6.8,pi.7.8,pi.8.8,pi.9.8,pi.10.8,pi.11.8,pi.12.8,pi.13.8,pi.14.8,pi.15.8
# Adaptation terminated
# Step size = 0.0427774
# Diagonal elements of inverse mass matrix:
# 1.23277, 1.66567, 1.15992, 0.883238, 0.867016, 1.11191, 1.31694, 0.954855, 0.866471, 0.685981, 0.664384, 0.439388, 0.491325, 0.465584, 0.587256, 0.801706, 0.282195, 0.444498, 0.158215, 0.881577, 0.870583, 0.665404, 0.934631, 0.837112, 0.733363, 0.866822, 0.920583, 0.834181, 0.999826, 0.855935, 0.978245, 0.0416501, 0.0492371, 0.062061, 0.150502, 0.378353, 0.224892
-450.04073,0.99285371,0.042777444,7,127,0,464.89156,0.07209598,0.058749792,0.025193609,0.0081326572,0.53037451,0.025743792,0.054921882,0.22478778,3.7354524,2.2545455,-0.15965489,1.7077242,-1.0609395,3.0420653,0.73466477,0.18512976,4.0985219,-3.0318162,-2.1527425,-2.261429,-3.2420484,-2.8960294,-4.4744056,1.1341014,1.5177811,1.373696,1.3948744,4.3255172,0.26413587,3.3551651,1.5646758,2.1345619,4.0799281,5.2814932,3.3060022,11.345238,5.1806647,4.075395,-2.629757,-2.8344677,-3.6811649,-4.8118676,-0.6341719,-3.6595618,-2.9018434,-1.4925985,0.97669377,0.9050419,0.46017085,0.84654087,0.25712996,0.95443872,0.67582809,0.5461507,0.98367378,0.046009043,0.10407522,0.09436817,0.03761367,0.052350193,0.011268567,0.99238169,0.97751855,0.7710132,0.95699981,0.25712996,0.95443872,0.67582809,0.5461507,0.98367378,0.046009043,0.10407522,0.09436817,0.03761367,0.052350193,0.011268567,0.97669377,0.9050419,0.46017085,0.84654087,0.96319342,0.96464093,0.9835336,0.85192828,0.99804046,0.046009043,0.10407522,0.09436817,0.03761367,0.052350193,0.011268567,0.97669377,0.9050419,0.46017085,0.84654087,0.25712996,0.95443872,0.67582809,0.5461507,0.98367378,0.74041217,0.95806323,0.73973144,0.99969752,0.90759652,0.40155008,0.99238169,0.97751855,0.7710132,0.95699981,0.96319342,0.96464093,0.9835336,0.85192828,0.99804046,0.046009043,0.10407522,0.09436817,0.03761367,0.052350193,0.011268567,0.99238169,0.97751855,0.7710132,0.95699981,0.25712996,0.95443872,0.67582809,0.5461507,0.98367378,0.74041217,0.95806323,0.73973144,0.99969752,0.90759652,0.40155008,0.97669377,0.9050419,0.46017085,0.84654087,0.96319342,0.96464093,0.9835336,0.85192828,0.99804046,0.74041217,0.95806323,0.73973144,0.99969752,0.90759652,0.40155008,0.99238169,0.97751855,0.7710132,0.95699981,0.96319342,0.96464093,0.9835336,0.85192828,0.99804046,0.74041217,0.95806323,0.73973144,0.99969752,0.90759652,0.40155008
-446.46596,0.97949552,0.042777444,7,127,0,468.373,0.045940763,0.072895397,0.06716157,0.020919752,0.40580343,0.1731465,0.05308736,0.16104523,2.2023678,1.513325,-2.4250131,1.6484298,2.5769077,0.72753051,2.8011412,1.228898,3.8541845,-1.920369,-3.4953379,-1.1895478,-4.4169723,-2.163304,-1.7803678,7.2625744,2.6390471,4.2213171,1.8077416,0.41450429,5.2012129,0.50482362,0.33575984,3.6090711,2.7281769,6.8890799,1.9440626,16.301705,2.1295111,0.61055203,-3.0804025,-2.6187298,-2.7006541,-3.8670615,-0.90188641,-1.7536172,-2.9358164,-1.82607,0.90046194,0.81955346,0.081285102,0.83867873,0.92936053,0.67426313,0.94273746,0.77362565,0.97924886,0.12782042,0.029445174,0.23333982,0.011926759,0.10309454,0.14425773,0.99992248,0.98451645,0.85769842,0.96941465,0.92936053,0.67426313,0.94273746,0.77362565,0.97924886,0.12782042,0.029445174,0.23333982,0.011926759,0.10309454,0.14425773,0.90046194,0.81955346,0.081285102,0.83867873,0.95218464,0.99734524,0.96463287,0.82702071,0.99942654,0.12782042,0.029445174,0.23333982,0.011926759,0.10309454,0.14425773,0.90046194,0.81955346,0.081285102,0.83867873,0.92936053,0.67426313,0.94273746,0.77362565,0.97924886,0.69164218,0.96750838,0.68016165,0.99999311,0.49155257,0.23688829,0.99992248,0.98451645,0.85769842,0.96941465,0.95218464,0.99734524,0.96463287,0.82702071,0.99942654,0.12782042,0.029445174,0.23333982,0.011926759,0.10309454,0.14425773,0.99992248,0.98451645,0.85769842,0.96941465,0.92936053,0.67426313,0.94273746,0.77362565,0.97924886,0.69164218,0.96750838,0.68016165,0.99999311,0.49155257,0.23688829,0.90046194,0.81955346,0.081285102,0.83867873,0.95218464,0.99734524,0.96463287,0.82702071,0.99942654,0.69164218,0.96750838,0.68016165,0.99999311,0.49155257,0.23688829,0.99992248,0.98451645,0.85769842,0.96941465,0.95218464,0.99734524,0.96463287,0.82702071,0.99942654,0.69164218,0.96750838,0.68016165,0.99999311,0.49155257,0.23688829
-446.85747,0.97254751,0.042777444,7,127,0,461.74757,0.17341974,0.0064425838,0.12444168,0.12366899,0.3278252,0.091688353,0.084189516,0.06832393,5.3456086,2.4631276,0.22959211,2.6003702,2.0857183,2.3673789,2.5025158,1.2714411,3.5440816,-2.62076,-2.2929434,-1.7637057,-3.6295853,-1.1784833,-2.1980573,0.63456917,2.5891784,0.29554307,1.2650559,1.1610033,0.87126216,1.1814126,0.85840738,7.4764649,4.4517539,4.2782839,3.2717401,6.3655065,0.57743731,1.3164594,-1.7520404,-5.0448256,-2.0839181,-2.0901467,-1.1152747,-2.3893599,-2.4746849,-2.6834952,0.99525359,0.92151616,0.55714722,0.9308854,0.88950731,0.91430572,0.924318,0.78098934,0.97191633,0.067814237,0.091709072,0.14632683,0.025841677,0.23532501,0.099925082,0.997478,0.99364606,0.62834776,0.97947607,0.88950731,0.91430572,0.924318,0.78098934,0.97191633,0.067814237,0.091709072,0.14632683,0.025841677,0.23532501,0.099925082,0.99525359,0.92151616,0.55714722,0.9308854,0.96255513,0.96226279,0.97549167,0.89377062,0.99998364,0.067814237,0.091709072,0.14632683,0.025841677,0.23532501,0.099925082,0.99525359,0.92151616,0.55714722,0.9308854,0.88950731,0.91430572,0.924318,0.78098934,0.97191633,0.8618801,0.87924931,0.81876971,0.93911329,0.35410442,0.29284677,0.997478,0.99364606,0.62834776,0.97947607,0.96255513,0.96226279,0.97549167,0.89377062,0.99998364,0.067814237,0.091709072,0.14632683,0.025841677,0.23532501,0.099925082,0.997478,0.99364606,0.62834776,0.97947607,0.88950731,0.91430572,0.924318,0.78098934,0.97191633,0.8618801,0.87924931,0.81876971,0.93911329,0.35410442,0.29284677,0.99525359,0.92151616,0.55714722,0.9308854,0.96255513,0.96226279,0.97549167,0.89377062,0.99998364,0.8618801,0.87924931,0.81876971,0.93911329,0.35410442,0.29284677,0.997478,0.99364606,0.62834776,0.97947607,0.96255513,0.96226279,0.97549167,0.89377062,0.99998364,0.8618801,0.87924931,0.81876971,0.93911329,0.35410442,0.29284677
-447.22392,0.99027631,0.042777444,7,127,0,465.14976,0.092445112,0.015436011,0.083888526,0.060380128,0.4461548,0.23513721,0.013639062,0.052919143,3.701306,1.5334565,-0.23783864,1.9063548,2.2369072,1.9913564,3.1008397,1.1631702,5.1645467,-2.7426251,-1.9096417,-1.7992534,-3.6186981,-1.359066,-2.7738826,1.5237843,1.9705633,0.54147801,0.8697688,1.1146134,3.0828045,2.8698917,1.6057412,5.5870827,3.5609269,4.2348003,2.5451624,11.458311,1.288059,1.3280833,-2.3811402,-4.1710521,-2.4782664,-2.8070952,-0.80708929,-1.4475861,-4.2948174,-2.9389901,0.97590371,0.82251147,0.44081905,0.87060907,0.90351518,0.87988657,0.95692737,0.76190828,0.99431683,0.060504513,0.12902111,0.14194197,0.026117168,0.20439214,0.058751936,0.99464891,0.97080193,0.57533195,0.94137187,0.90351518,0.87988657,0.95692737,0.76190828,0.99431683,0.060504513,0.12902111,0.14194197,0.026117168,0.20439214,0.058751936,0.97590371,0.82251147,0.44081905,0.87060907,0.96615459,0.99378256,0.99745412,0.94097255,0.99997859,0.060504513,0.12902111,0.14194197,0.026117168,0.20439214,0.058751936,0.97590371,0.82251147,0.44081905,0.87060907,0.90351518,0.87988657,0.95692737,0.76190828,0.99431683,0.69387574,0.91093934,0.67828664,0.99960633,0.48225569,0.1906489,0.99464891,0.97080193,0.57533195,0.94137187,0.96615459,0.99378256,0.99745412,0.94097255,0.99997859,0.060504513,0.12902111,0.14194197,0.026117168,0.20439214,0.058751936,0.99464891,0.97080193,0.57533195,0.94137187,0.90351518,0.87988657,0.95692737,0.76190828,0.99431683,0.69387574,0.91093934,0.67828664,0.99960633,0.48225569,0.1906489,0.97590371,0.82251147,0.44081905,0.87060907,0.96615459,0.99378256,0.99745412,0.94097255,0.99997859,0.69387574,0.91093934,0.67828664,0.99960633,0.48225569,0.1906489,0.99464891,0.97080193,0.57533195,0.94137187,0.96615459,0.99378256,0.99745412,0.94097255,0.99997859,0.69387574,0.91093934,0.67828664,0.99960633,0.48225569,0.1906489
-448.60867,0.99900417,0.042777444,6,63,0,464.34757,0.11378531,0.30605256,0.035630259,0.045522547,0.21830859,0.097289675,0.11923363,0.064177426,2.299304,2.8191732,-0.35938438,1.6706104,2.4975406,2.2591698,2.2592634,1.3201267,4.8757692,-2.5659627,-2.688278,-0.85773436,-4.4357603,-2.8611196,-3.7965959,2.5520861,9.1359078,2.6196903,4.0389944,1.2016768,10.074438,1.068361,0.78074915,0.46982329,3.8163459,5.0174057,2.2541502,8.350553,4.4839126,4.3593625,-2.1734418,-1.1839984,-3.33456,-3.0895475,-1.5218457,-2.3300624,-2.1266705,-2.7461038,0.90881938,0.94370315,0.4111086,0.84165719,0.92396923,0.90543858,0.90544659,0.78920278,0.99242854,0.071361388,0.063668599,0.29781292,0.01170737,0.05410937,0.021954246,0.99224314,0.99999357,0.9055358,0.99669696,0.92396923,0.90543858,0.90544659,0.78920278,0.99242854,0.071361388,0.063668599,0.29781292,0.01170737,0.05410937,0.021954246,0.90881938,0.94370315,0.4111086,0.84165719,0.97585455,0.9999956,0.96536443,0.89098828,0.99525351,0.071361388,0.063668599,0.29781292,0.01170737,0.05410937,0.021954246,0.90881938,0.94370315,0.4111086,0.84165719,0.92396923,0.90543858,0.90544659,0.78920278,0.99242854,0.77736619,0.91126082,0.80161452,0.98044533,0.83517997,0.63709244,0.99224314,0.99999357,0.9055358,0.99669696,0.97585455,0.9999956,0.96536443,0.89098828,0.99525351,0.071361388,0.063668599,0.29781292,0.01170737,0.05410937,0.021954246,0.99224314,0.99999357,0.9055358,0.99669696,0.92396923,0.90543858,0.90544659,0.78920278,0.99242854,0.77736619,0.91126082,0.80161452,0.98044533,0.83517997,0.63709244,0.90881938,0.94370315,0.4111086,0.84165719,0.97585455,0.9999956,0.96536443,0.89098828,0.99525351,0.77736619,0.91126082,0.80161452,0.98044533,0.83517997,0.63709244,0.99224314,0.99999357,0.9055358,0.99669696,0.97585455,0.9999956,0.96536443,0.89098828,0.99525351,0.77736619,0.91126082,0.80161452,0.98044533,0.83517997,0.63709244
-448.19199,0.98603344,0.042777444,7,127,0,472.44075,0.13997379,0.0034392559,0.019780721,0.010885242,0.43194541,0.079418844,0.014433314,0.30012342,2.9352474,1.6723684,0.72406543,2.3480867,1.3595753,2.0659402,3.2651863,-0.75994739,1.9763112,-2.1340655,-2.749858,-2.2355603,-2.9178114,-2.3872487,-2.4289688,1.2957073,4.4793464,0.51416074,0.76165532,1.5470912,2.0054066,0.38658362,5.2143007,2.8178737,3.4387379,5.2830041,4.0174732,7.4002667,1.4420699,0.80951339,-1.9663001,-5.6725001,-3.9230475,-4.5203473,-0.83945605,-2.5330196,-4.2382163,-1.2035615,0.94956159,0.84189134,0.67350162,0.91278203,0.79569067,0.8875484,0.96321499,0.31865769,0.87828738,0.10582966,0.060094668,0.096602299,0.051280074,0.08415023,0.080990184,0.98566983,0.9978747,0.7752551,0.95729281,0.79569067,0.8875484,0.96321499,0.31865769,0.87828738,0.10582966,0.060094668,0.096602299,0.051280074,0.08415023,0.080990184,0.94956159,0.84189134,0.67350162,0.91278203,0.94817501,0.98323157,0.97471096,0.98850582,0.99179021,0.10582966,0.060094668,0.096602299,0.051280074,0.08415023,0.080990184,0.94956159,0.84189134,0.67350162,0.91278203,0.79569067,0.8875484,0.96321499,0.31865769,0.87828738,0.78662029,0.92643306,0.85593291,0.98882077,0.27985543,0.16527998,0.98566983,0.9978747,0.7752551,0.95729281,0.94817501,0.98323157,0.97471096,0.98850582,0.99179021,0.10582966,0.060094668,0.096602299,0.051280074,0.08415023,0.080990184,0.98566983,0.9978747,0.7752551,0.95729281,0.79569067,0.8875484,0.96321499,0.31865769,0.87828738,0.78662029,0.92643306,0.85593291,0.98882077,0.27985543,0.16527998,0.94956159,0.84189134,0.67350162,0.91278203,0.94817501,0.98323157,0.97471096,0.98850582,0.99179021,0.78662029,0.92643306,0.85593291,0.98882077,0.27985543,0.16527998,0.98566983,0.9978747,0.7752551,0.95729281,0.94817501,0.98323157,0.97471096,0.98850582,0.99179021,0.78662029,0.92643306,0.85593291,0.98882077,0.27985543,0.16527998
