# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = model_4d9ba28ffb1aeb219300be003f2a12dc_model
# start_datetime = 2026-04-07 18:20:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 5000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/zz/_tf8d1dj3m32gskckvrvzn240000gr/T/RtmpQ59ItL/standata-165d65c9e3b68.json
# init = 2 (Default)
# random
#   seed = 1274970062
# output
#   file = /var/folders/zz/_tf8d1dj3m32gskckvrvzn240000gr/T/RtmpQ59ItL/model_4d9ba28ffb1aeb219300be003f2a12dc-202604071320-1-45e7ab.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /var/folders/zz/_tf8d1dj3m32gskckvrvzn240000gr/T/RtmpQ59ItL/model_4d9ba28ffb1aeb219300be003f2a12dc-profile-202604071320-1-1c755d.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=model_4d9ba28ffb1aeb219300be003f2a12dc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Vc.1,Vc.2,Vc.3,Vc.4,l1_0,l2_0,l3_0,l4_0,l5_0,l6_0,l7_0,l8_0,l9_0,l10_0,l11_0,l12_0,l13_0,l14_0,l15_0,l1_11,l2_11,l3_11,l4_11,l5_12,l6_12,l7_12,l8_12,l9_12,l10_13,l11_13,l12_13,l13_13,l14_13,l15_13,log_Vc.1,log_Vc.2,log_Vc.3,log_Vc.4,pi.1.1,pi.2.1,pi.3.1,pi.4.1,pi.5.1,pi.6.1,pi.7.1,pi.8.1,pi.9.1,pi.10.1,pi.11.1,pi.12.1,pi.13.1,pi.14.1,pi.15.1,pi.1.2,pi.2.2,pi.3.2,pi.4.2,pi.5.2,pi.6.2,pi.7.2,pi.8.2,pi.9.2,pi.10.2,pi.11.2,pi.12.2,pi.13.2,pi.14.2,pi.15.2,pi.1.3,pi.2.3,pi.3.3,pi.4.3,pi.5.3,pi.6.3,pi.7.3,pi.8.3,pi.9.3,pi.10.3,pi.11.3,pi.12.3,pi.13.3,pi.14.3,pi.15.3,pi.1.4,pi.2.4,pi.3.4,pi.4.4,pi.5.4,pi.6.4,pi.7.4,pi.8.4,pi.9.4,pi.10.4,pi.11.4,pi.12.4,pi.13.4,pi.14.4,pi.15.4
# Adaptation terminated
# Step size = 0.0417706
# Diagonal elements of inverse mass matrix:
# 0.958353, 0.436966, 0.169074, 2.60679, 2.1995, 0.809623, 0.734458, 1.18376, 0.960173, 0.676418, 1.39378, 1.75158, 0.286683, 0.423687, 0.161348, 0.886961, 0.808781, 0.642471, 0.606377, 0.559671, 0.610773, 0.643402, 0.620496, 0.667279, 0.650815, 0.621282, 0.875966, 0.0410764, 0.0417563, 0.0547504, 0.135612, 0.379233, 0.224092
-428.88749,0.99857029,0.041770629,7,127,0,442.44131,0.031060116,0.029405363,0.5960277,0.34350682,0.67403738,2.5483138,0.16475404,2.0824167,2.2978285,2.297764,2.873114,-1.1941801,0.66591198,-2.2787741,-4.0437764,-1.9818623,-4.3348967,-2.8156386,-2.3942272,4.3939715,0.3338838,0.58301314,0.77232102,0.80135859,0.65910995,0.33363523,3.0788203,3.8776293,3.2422599,7.2952262,3.963627,10.358218,3.6265934,1.523997,-3.4718307,-3.5265782,-0.51746814,-1.0685483,0.66240661,0.92746015,0.54109559,0.88918239,0.90869704,0.90869169,0.94650125,0.23251217,0.66058718,0.092896206,0.017229096,0.12112046,0.012933754,0.056484922,0.08361396,0.99374444,0.94695935,0.67869198,0.94556307,0.90869704,0.90869169,0.94650125,0.23251217,0.66058718,0.092896206,0.017229096,0.12112046,0.012933754,0.056484922,0.08361396,0.99374444,0.94695935,0.67869198,0.94556307,0.9568592,0.95058737,0.96108747,0.86814321,0.98947625,0.092896206,0.017229096,0.12112046,0.012933754,0.056484922,0.08361396,0.99374444,0.94695935,0.67869198,0.94556307,0.9568592,0.95058737,0.96108747,0.86814321,0.98947625,0.72381919,0.96272517,0.87886915,0.99758424,0.69231293,0.2952064
-429.08384,0.98710094,0.041770629,7,127,0,443.80322,0.028900528,0.042643068,0.61106849,0.31738792,-0.59733425,0.13738146,-0.023766403,2.0217279,0.086259885,1.473968,2.3374823,0.5134356,1.2437741,-3.0970287,-1.8463778,-1.0024274,-3.3400245,-4.5834899,-3.7818345,5.8537186,3.2609555,0.93533113,1.0818137,3.1727143,0.42658501,1.3316387,1.5650784,3.9882782,4.1792856,3.1308562,2.5505041,7.1858811,7.9090452,3.1231221,-3.5438954,-3.1548905,-0.49254624,-1.1476305,0.35495381,0.53429145,0.49405868,0.88305956,0.52155161,0.81365975,0.9119341,0.62561151,0.77622026,0.043229985,0.13629875,0.26846443,0.034223349,0.010115795,0.022273454,0.99481292,0.96765252,0.71332025,0.95703859,0.52155161,0.81365975,0.9119341,0.62561151,0.77622026,0.043229985,0.13629875,0.26846443,0.034223349,0.010115795,0.022273454,0.99481292,0.96765252,0.71332025,0.95703859,0.96299425,0.8699541,0.97513515,0.88879725,0.99468584,0.043229985,0.13629875,0.26846443,0.034223349,0.010115795,0.022273454,0.99481292,0.96765252,0.71332025,0.95703859,0.96299425,0.8699541,0.97513515,0.88879725,0.99468584,0.74692085,0.78321113,0.82463578,0.97907895,0.96529518,0.34102892
-430.12501,0.99815314,0.041770629,7,127,0,442.20108,0.068787874,0.046346137,0.40652233,0.47834366,2.3547937,-0.52233816,-0.51688706,1.471366,2.1838545,0.93558118,3.1171474,0.22891282,2.5594516,-1.5683907,-4.0490607,-1.4759127,-3.1664063,-1.9215817,-2.7927649,2.2752987,4.0361983,1.604826,1.0373639,0.62921928,1.5650937,0.39527448,1.9609834,3.41924,2.8702866,6.9156097,3.3286561,11.352213,1.5240978,1.2059618,-2.6767278,-3.0716173,-0.90011641,-0.73742586,0.9133145,0.37230566,0.37358043,0.81326492,0.89879025,0.71820621,0.95759454,0.55697961,0.92820592,0.17244594,0.017139849,0.18604558,0.040449668,0.12768529,0.057716402,0.99034036,0.97107957,0.74799341,0.92475155,0.89879025,0.71820621,0.95759454,0.55697961,0.92820592,0.17244594,0.017139849,0.18604558,0.040449668,0.12768529,0.057716402,0.99034036,0.97107957,0.74799341,0.92475155,0.94337823,0.92418912,0.97103915,0.89933851,0.99747426,0.17244594,0.017139849,0.18604558,0.040449668,0.12768529,0.057716402,0.99034036,0.97107957,0.74799341,0.92475155,0.94337823,0.92418912,0.97103915,0.89933851,0.99747426,0.7861539,0.94616784,0.86444889,0.9997215,0.40191701,0.16983416
-427.8633,0.99834457,0.041770629,7,127,0,442.31579,0.032787979,0.041133896,0.54585813,0.38022,1.7102393,-0.57985889,0.18915093,0.83431074,0.84235822,1.9857847,0.51684432,-1.4168925,1.6148997,-3.3533899,-3.0638454,-1.1397707,-3.5951991,-2.9192558,-3.5164818,3.0338482,4.0149805,0.69138169,2.248337,1.833442,0.32417962,2.5562476,3.4122456,3.9281518,4.5849604,4.9083702,1.6398561,9.3589798,3.644209,1.7692833,-3.4176933,-3.1909228,-0.60539618,-0.96700525,0.84686732,0.35896506,0.54714725,0.69726564,0.69896165,0.87929646,0.62640957,0.1951492,0.83409054,0.033784333,0.044623476,0.24236247,0.026721571,0.05120985,0.028846893,0.99137209,0.96878432,0.70693258,0.95617128,0.69896165,0.87929646,0.62640957,0.1951492,0.83409054,0.033784333,0.044623476,0.24236247,0.026721571,0.05120985,0.028846893,0.99137209,0.96878432,0.70693258,0.95617128,0.93558348,0.90969892,0.95576907,0.88030832,0.9961007,0.033784333,0.044623476,0.24236247,0.026721571,0.05120985,0.028846893,0.99137209,0.96878432,0.70693258,0.95617128,0.93558348,0.90969892,0.95576907,0.88030832,0.9961007,0.77409332,0.86348297,0.6224794,0.9968706,0.67369682,0.14840089
-429.24129,0.95318914,0.041770629,7,127,0,447.17362,0.074991162,0.0076009256,0.61015867,0.30724924,1.1583591,0.20565789,-0.47525226,0.0024672451,1.0385927,2.6253757,2.6287294,0.14803701,1.0212191,-1.9078478,-2.2512951,-1.3631177,-3.22552,-4.2561221,-2.0294288,6.4818062,3.5721217,1.3617092,3.5464948,1.5362371,1.0540403,0.88512417,1.3729265,6.9328423,3.1546178,5.7556177,2.6717665,6.6475354,6.1166946,2.0061492,-2.590385,-4.8794852,-0.49403624,-1.180096,0.76103444,0.55123402,0.38337386,0.50061681,0.73857838,0.93247697,0.93268782,0.53694181,0.73521,0.12922283,0.095237807,0.20373405,0.038216574,0.013978991,0.11614755,0.99951948,0.97763807,0.70815846,0.97204924,0.73857838,0.93247697,0.93268782,0.53694181,0.73521,0.12922283,0.095237807,0.20373405,0.038216574,0.013978991,0.11614755,0.99951948,0.97763807,0.70815846,0.97204924,0.929224,0.97538355,0.97107938,0.82068032,0.99964889,0.12922283,0.095237807,0.20373405,0.038216574,0.013978991,0.11614755,0.99951948,0.97763807,0.70815846,0.97204924,0.929224,0.97538355,0.97107938,0.82068032,0.99964889,0.77674022,0.97081051,0.78728696,0.96838553,0.86536367,0.49418037
-432.98027,0.98619462,0.041770629,6,127,0,453.8853,0.057092334,0.091550404,0.56189538,0.28946189,2.0846652,0.86586577,0.59258453,3.1332819,2.8443348,2.3351804,2.5933577,-1.0796545,0.83028549,-2.5359147,-2.9388106,-1.7315545,-2.7790043,-3.5882576,-3.6773971,2.0891518,2.3598873,0.26027461,0.484597,0.90737251,0.57932436,0.30845313,4.4160011,4.0152615,3.718243,4.9142449,2.6939864,10.60536,12.671416,3.9439659,-2.8630854,-2.3908656,-0.57643961,-1.2397316,0.88940376,0.70388472,0.64395794,0.9582449,0.9450251,0.91174906,0.93043287,0.2535714,0.69641529,0.073378466,0.050268026,0.15038885,0.058469343,0.026902694,0.024664969,0.98483997,0.96179199,0.70116657,0.97386199,0.9450251,0.91174906,0.93043287,0.2535714,0.69641529,0.073378466,0.050268026,0.15038885,0.058469343,0.026902694,0.024664969,0.98483997,0.96179199,0.70116657,0.97386199,0.97706093,0.94855882,0.94793588,0.96565488,0.99219803,0.073378466,0.050268026,0.15038885,0.058469343,0.026902694,0.024664969,0.98483997,0.96179199,0.70116657,0.97386199,0.97706093,0.94855882,0.94793588,0.96565488,0.99219803,0.76536617,0.87819362,0.72360845,0.99960108,0.99988645,0.56625036
-428.90413,0.9976981,0.041770629,6,63,0,444.0587,0.072022685,0.024758815,0.55141591,0.35180259,1.4674419,-0.44311715,-0.81400878,1.7235002,3.3222371,3.0438457,2.6267514,1.158549,1.8443798,-2.2913482,-1.8833393,-1.9799924,-3.6569056,-2.8056494,-3.313671,6.3307967,3.7356322,1.2395165,0.61800774,0.56954382,0.25392603,1.4252966,0.85351103,3.6017761,3.5325575,4.9874009,3.4880372,13.893501,3.0212357,2.4315882,-2.6307741,-3.6985737,-0.59526593,-1.0446851,0.81266826,0.39099847,0.30703691,0.84857913,0.96518384,0.95451608,0.93256354,0.76106897,0.86346587,0.091842035,0.13200578,0.12131965,0.025162755,0.057019655,0.035105158,0.99958971,0.96417114,0.60480045,0.91225686,0.96518384,0.95451608,0.93256354,0.76106897,0.86346587,0.091842035,0.13200578,0.12131965,0.025162755,0.057019655,0.035105158,0.99958971,0.96417114,0.60480045,0.91225686,0.97999923,0.96435229,0.9829104,0.8820575,0.99570567,0.091842035,0.13200578,0.12131965,0.025162755,0.057019655,0.035105158,0.99958971,0.96417114,0.60480045,0.91225686,0.97999923,0.96435229,0.9829104,0.8820575,0.99570567,0.77577443,0.95705997,0.81877127,0.99996417,0.55368879,0.29274635
