# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = model_4d9ba28ffb1aeb219300be003f2a12dc_model
# start_datetime = 2026-04-07 18:20:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 5000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/zz/_tf8d1dj3m32gskckvrvzn240000gr/T/RtmpQ59ItL/standata-165d65c9e3b68.json
# init = 2 (Default)
# random
#   seed = 1274970062
# output
#   file = /var/folders/zz/_tf8d1dj3m32gskckvrvzn240000gr/T/RtmpQ59ItL/model_4d9ba28ffb1aeb219300be003f2a12dc-202604071320-3-45e7ab.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /var/folders/zz/_tf8d1dj3m32gskckvrvzn240000gr/T/RtmpQ59ItL/model_4d9ba28ffb1aeb219300be003f2a12dc-profile-202604071320-3-1c755d.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=model_4d9ba28ffb1aeb219300be003f2a12dc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Vc.1,Vc.2,Vc.3,Vc.4,l1_0,l2_0,l3_0,l4_0,l5_0,l6_0,l7_0,l8_0,l9_0,l10_0,l11_0,l12_0,l13_0,l14_0,l15_0,l1_11,l2_11,l3_11,l4_11,l5_12,l6_12,l7_12,l8_12,l9_12,l10_13,l11_13,l12_13,l13_13,l14_13,l15_13,log_Vc.1,log_Vc.2,log_Vc.3,log_Vc.4,pi.1.1,pi.2.1,pi.3.1,pi.4.1,pi.5.1,pi.6.1,pi.7.1,pi.8.1,pi.9.1,pi.10.1,pi.11.1,pi.12.1,pi.13.1,pi.14.1,pi.15.1,pi.1.2,pi.2.2,pi.3.2,pi.4.2,pi.5.2,pi.6.2,pi.7.2,pi.8.2,pi.9.2,pi.10.2,pi.11.2,pi.12.2,pi.13.2,pi.14.2,pi.15.2,pi.1.3,pi.2.3,pi.3.3,pi.4.3,pi.5.3,pi.6.3,pi.7.3,pi.8.3,pi.9.3,pi.10.3,pi.11.3,pi.12.3,pi.13.3,pi.14.3,pi.15.3,pi.1.4,pi.2.4,pi.3.4,pi.4.4,pi.5.4,pi.6.4,pi.7.4,pi.8.4,pi.9.4,pi.10.4,pi.11.4,pi.12.4,pi.13.4,pi.14.4,pi.15.4
# Adaptation terminated
# Step size = 0.0353566
# Diagonal elements of inverse mass matrix:
# 0.983862, 0.417282, 0.178341, 2.43058, 2.06966, 0.805014, 0.799318, 1.19856, 0.956372, 0.610648, 1.37033, 1.7134, 0.279184, 0.387874, 0.165669, 0.87342, 0.861061, 0.658504, 0.607742, 0.507003, 0.60963, 0.665232, 0.625592, 0.658185, 0.582952, 0.627412, 0.875177, 0.0391397, 0.0396102, 0.0578695, 0.140995, 0.396419, 0.272679
-439.86058,0.99446317,0.035356646,6,127,0,453.50461,0.015403719,0.040950591,0.64013493,0.30351076,-1.4531965,2.4203599,-0.59061141,2.2491021,-2.7042746,2.0164759,3.1135777,2.0735073,1.3699771,-2.5731592,-2.5725362,-1.3245096,-3.7559421,-3.2206013,-2.6873333,4.6299114,1.037568,1.3179306,0.48719395,8.2687901,1.4259211,1.053931,0.47157205,2.6512397,3.855402,7.0427359,2.4309649,16.258104,14.961735,3.2389906,-4.1731463,-3.195389,-0.44607629,-1.1923382,0.18951011,0.91836673,0.35649458,0.90457306,0.06272159,0.88251611,0.95744935,0.88830144,0.79737646,0.070885955,0.070926996,0.210069,0.02284435,0.038397778,0.063724937,0.95994855,0.96946669,0.6742167,0.93913472,0.06272159,0.88251611,0.95744935,0.88830144,0.79737646,0.070885955,0.070926996,0.210069,0.02284435,0.038397778,0.063724937,0.95994855,0.96946669,0.6742167,0.93913472,0.99618319,0.96900359,0.9847455,0.92724224,0.98238473,0.070885955,0.070926996,0.210069,0.02284435,0.038397778,0.063724937,0.95994855,0.96946669,0.6742167,0.93913472,0.99618319,0.96900359,0.9847455,0.92724224,0.98238473,0.78283131,0.98868448,0.75146769,0.99999628,0.99999204,0.63452
-431.89655,0.99992493,0.035356646,7,127,0,450.02382,0.041262617,0.031098899,0.63235713,0.29528136,1.8820586,-0.96645893,-0.15346752,1.2464174,2.72893,2.0136752,3.1242963,0.85518239,2.9254261,-1.8225041,-1.7962168,-1.5510922,-3.2522104,-1.6905728,-3.1209084,1.603757,3.848176,0.82417177,1.2637018,0.49978841,0.6652607,0.75861249,1.8075179,1.317251,3.8767512,5.1925925,3.2662368,13.145518,3.8471321,2.8360583,-3.1877983,-3.4705829,-0.45830097,-1.2198266,0.8678474,0.27558687,0.46170825,0.77667907,0.93871231,0.88222542,0.95788389,0.70165314,0.94908912,0.13913367,0.14231222,0.17492857,0.03724754,0.15570053,0.042252994,0.97028147,0.94693521,0.66166083,0.92484817,0.93871231,0.88222542,0.95788389,0.70165314,0.94908912,0.13913367,0.14231222,0.17492857,0.03724754,0.15570053,0.042252994,0.97028147,0.94693521,0.66166083,0.92484817,0.96190081,0.9357722,0.97982458,0.93478947,0.98583447,0.13913367,0.14231222,0.17492857,0.03724754,0.15570053,0.042252994,0.97028147,0.94693521,0.66166083,0.92484817,0.96190081,0.9357722,0.97982458,0.93478947,0.98583447,0.88637606,0.96759108,0.84750237,0.99994949,0.89628013,0.42926512
-437.41314,0.99986071,0.035356646,7,127,0,452.50448,0.099418262,0.19579592,0.34649629,0.35828953,4.4653617,1.1735672,-2.2508918,1.6658705,-0.1528337,3.0547876,2.4637497,1.7038825,3.1752334,-2.4902297,-2.7039075,-1.392331,-3.2584609,-1.9213935,-3.6409581,0.58136772,2.0238595,3.0870645,1.1988051,4.3973569,0.27398473,0.56336543,0.87997866,0.93075108,2.9582103,4.2128452,1.8761299,13.843329,2.4900102,3.3074578,-2.3084195,-1.6306824,-1.0598832,-1.0264139,0.98863022,0.7637892,0.095272566,0.84102448,0.46186577,0.95498877,0.92156114,0.84604113,0.95989156,0.076545957,0.062743177,0.19903589,0.037024043,0.12770625,0.025556916,0.99361075,0.96073732,0.69765853,0.94607234,0.46186577,0.95498877,0.92156114,0.84604113,0.95989156,0.076545957,0.062743177,0.19903589,0.037024043,0.12770625,0.025556916,0.99361075,0.96073732,0.69765853,0.94607234,0.98586023,0.96540279,0.95378418,0.92981566,0.9837932,0.076545957,0.062743177,0.19903589,0.037024043,0.12770625,0.025556916,0.99361075,0.96073732,0.69765853,0.94607234,0.98586023,0.96540279,0.95378418,0.92981566,0.9837932,0.61490567,0.81890372,0.61864453,0.9999747,0.63844393,0.41738918
-432.72099,0.99771642,0.035356646,7,127,0,456.40779,0.01137516,0.0075130041,0.64567228,0.33543956,2.7122503,-1.692252,0.059195423,1.8724998,2.5980306,-2.8469913,2.4426824,-0.59967848,-0.62335659,-2.3859591,-3.5239776,-1.8665973,-3.3641176,-4.1403873,-3.2700026,1.4487336,4.1908811,0.68218486,1.0241628,0.26613139,5.6359994,0.46111701,1.9594085,7.0280148,3.6292844,5.0274078,3.3798597,7.0231663,5.5034467,2.2497967,-4.4763233,-4.8911199,-0.43746321,-1.0923135,0.93774565,0.15547991,0.51479454,0.86674726,0.93073473,0.05483705,0.92002468,0.35441726,0.34901843,0.084249672,0.028637642,0.13393594,0.033435894,0.015667315,0.036614738,0.98464718,0.92404566,0.67729761,0.94768121,0.93073473,0.05483705,0.92002468,0.35441726,0.34901843,0.084249672,0.028637642,0.13393594,0.033435894,0.015667315,0.036614738,0.98464718,0.92404566,0.67729761,0.94768121,0.94604613,0.94207894,0.94803394,0.79571582,0.9983489,0.084249672,0.028637642,0.13393594,0.033435894,0.015667315,0.036614738,0.98464718,0.92404566,0.67729761,0.94768121,0.94604613,0.94207894,0.94803394,0.79571582,0.9983489,0.77614231,0.81808553,0.81954419,0.97488976,0.79625648,0.2649873
-425.448,0.99904342,0.035356646,7,127,0,442.36139,0.064168935,0.059950124,0.4572451,0.41863584,1.1080765,1.9934372,-0.23917953,1.5711081,0.51701977,2.3836097,1.6815545,1.4726238,2.2846084,-2.0204564,-2.8126843,-1.1408108,-4.4141063,-2.3778887,-3.4702947,3.6652432,0.61164081,0.93600407,1.0960148,2.8138179,1.3522398,1.4794889,0.66191643,4.5998344,3.3704818,4.3070792,1.9354816,10.739037,2.3175151,3.1104813,-2.7462361,-2.8142423,-0.78253571,-0.87075385,0.75177033,0.88010631,0.44048855,0.82794153,0.62645063,0.91556889,0.84311027,0.81345586,0.90759427,0.11707181,0.056642574,0.24217153,0.01196058,0.084874408,0.030169357,0.99161857,0.93118768,0.66748336,0.93505855,0.62645063,0.91556889,0.84311027,0.81345586,0.90759427,0.11707181,0.056642574,0.24217153,0.01196058,0.084874408,0.030169357,0.99161857,0.93118768,0.66748336,0.93505855,0.9654717,0.97670281,0.95934167,0.89421526,0.99897746,0.11707181,0.056642574,0.24217153,0.01196058,0.084874408,0.030169357,0.99161857,0.93118768,0.66748336,0.93505855,0.9654717,0.97670281,0.95934167,0.89421526,0.99897746,0.79413379,0.816737,0.68883336,0.99821211,0.48491118,0.41100472
-435.88214,0.98395597,0.035356646,7,127,0,444.34713,0.092396813,0.063732372,0.4845436,0.35932721,3.2317265,2.3473603,0.04241966,3.4309766,1.1642391,1.2994601,1.8109184,1.5492138,2.9617871,-2.3214866,-2.3849268,-1.6522609,-4.162009,-3.4849113,-2.2119607,4.5423947,0.40601785,0.18514394,0.18828549,2.2511173,1.2819822,1.6697419,0.4463514,0.59298659,3.1217074,6.422296,2.7096062,8.4831345,5.137308,2.3139143,-2.3816628,-2.7530626,-0.72454786,-1.0235219,0.9620109,0.91272418,0.51060332,0.96865873,0.76210213,0.78574411,0.85947284,0.82480016,0.95081763,0.089359016,0.084329349,0.16080362,0.015337337,0.029744613,0.098681549,0.9995797,0.94010385,0.55664665,0.97389717,0.76210213,0.78574411,0.85947284,0.82480016,0.95081763,0.089359016,0.084329349,0.16080362,0.015337337,0.029744613,0.098681549,0.9995797,0.94010385,0.55664665,0.97389717,0.96818103,0.92965765,0.97013246,0.88033067,0.97220671,0.089359016,0.084329349,0.16080362,0.015337337,0.029744613,0.098681549,0.9995797,0.94010385,0.55664665,0.97389717,0.96818103,0.92965765,0.97013246,0.88033067,0.97220671,0.69002171,0.98266208,0.74218291,0.98688925,0.83921471,0.52546635
